"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"177","family","3","9423","2015-08-06","family","whois.rightside.co","registry"
"178","management","2","9402","2013-12-12","management","whois.donuts.co","registry"
"179","kaufen","1","9296","2013-12-19","kaufen","whois.unitedtld.com","registry"
"180","estate","7","9273","2013-11-08","estate","whois.donuts.co","registry"
"181","gold","3","9268","2015-03-12","gold","whois.donuts.co","registry"
"182","chat","19","9147","2015-01-29","chat","whois.donuts.co","registry"
"183","farm","10","9037","2013-12-19","farm","whois.donuts.co","registry"
"184","buzz","16","9014","2013-12-12","buzz","whois.nic.buzz","registry"
"185","fashion","5","8973","2014-10-23","fashion","whois-dub.mm-registry.com","registry"
"186","quebec","3","8861","2014-03-13","quebec","whois.nic.quebec","registry"
"187","fit","4","8844","2014-12-18","fit","whois-dub.mm-registry.com","registry"
"188","direct","11","8794","2014-05-22","direct","whois.donuts.co","registry"
"189","melbourne","1","8725","2014-07-03","melbourne","whois.aridnrs.net.au","registry"
"190","band","1","8719","2014-10-01","band","whois.rightside.co","registry"
"191","移动","1","8361","2014-01-23","xn--6frz82g","whois.afilias.net","registry"
"192","attorney","1","8270","2014-05-22","attorney","whois.rightside.co","registry"
"193","pet","3","8214","2015-07-16","pet","whois.afilias.net","registry"
"194","legal","2","8191","2014-11-20","legal","whois.donuts.co","registry"
"195","ski","3","8029","2015-05-14","ski","whois.ksregistry.net","registry"
"196","sydney","1","8004","2014-10-30","sydney","whois.nic.sydney","registry"
"197","team","16","7979","2015-04-09","team","whois.donuts.co","registry"
"198","school","11","7949","2015-02-13","school","whois.donuts.co","registry"
"199","fitness","5","7942","2014-04-11","fitness","whois.donuts.co","registry"
"200","boutique","1","7901","2014-01-16","boutique","whois.donuts.co","registry"
"201","deals","12","7899","2014-07-03","deals","whois.donuts.co","registry"
"202","institute","4","7853","2013-12-19","institute","whois.donuts.co","registry"
"203","coop","134","7758","2001-12-15","coop","whois.nic.coop","registry"
"204","wtf","17","7730","2014-04-17","wtf","whois.donuts.co","registry"
"205","cafe","5","7720","2015-03-12","cafe","whois.donuts.co","registry"
