"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"1129","gb","NA","NA","1985-07-24","gb","","registry"
"1130","gd","15","NA","1992-06-03","gd","whois.nic.gd","registry"
"1131","gdn","3","NA","2014-12-04","gdn","whois.nic.gdn","registry"
"1132","ge","436","NA","1992-12-02","ge","","registry"
"1133","gf","2","NA","1996-07-25","gf","whois.nic.gf","registry"
"1134","gg","115","NA","1996-08-07","gg","whois.gg","registry"
"1135","gh","71","NA","1995-01-19","gh","whois.nic.gh","registry"
"1136","gi","13","NA","1995-12-05","gi","whois2.afilias-grs.net","registry"
"1137","gl","17","NA","1994-04-08","gl","whois.nic.gl","registry"
"1138","gm","6","NA","1997-03-28","gm","","registry"
"1139","gn","1","NA","1994-08-09","gn","","registry"
"1140","gov","1234","NA","1985-01-01","gov","whois.dotgov.gov","registry"
"1141","gp","2","NA","1996-10-21","gp","whois.nic.gp","registry"
"1142","gq","73","NA","1997-07-10","gq","whois.dominio.gq","registry"
"1143","gr","5328","NA","1989-02-19","gr","","registry"
"1144","gs","61","NA","1997-07-31","gs","whois.nic.gs","registry"
"1145","gt","172","NA","1992-08-14","gt","","registry"
"1146","gu","1","NA","1994-04-15","gu","","registry"
"1147","gw","1","NA","1997-02-04","gw","","registry"
"1148","gy","11","NA","1994-09-13","gy","whois.registry.gy","registry"
"1149","hk","1602","NA","1990-01-03","hk","whois.hkirc.hk","registry"
"1150","hm","6","NA","1997-07-24","hm","whois.registry.hm","registry"
"1151","hn","61","NA","1993-04-16","hn","whois.nic.hn","registry"
"1152","hr","716","NA","1993-02-27","hr","whois.dns.hr","registry"
"1153","ht","28","NA","1997-03-06","ht","whois.nic.ht","registry"
"1154","hu","2735","NA","1990-11-07","hu","whois.nic.hu","registry"
"1155","id","3513","NA","1993-02-27","id","whois.pandi.or.id","registry"
"1156","ie","1210","NA","1988-01-27","ie","whois.domainregistry.ie","registry"
"1157","ifm","1","NA","2015-01-15","ifm","whois.nic.ifm","registry"
"1158","il","1605","NA","1985-10-24","il","whois.isoc.org.il","registry"
"1159","im","189","NA","1996-09-11","im","whois.nic.im","registry"
"1160","in","17632","NA","1989-05-08","in","whois.inregistry.net","registry"
"1161","int","95","NA","1988-11-03","int","whois.iana.org","registry"
"1162","io","2376","NA","1997-09-16","io","whois.nic.io","registry"
"1163","iq","55","NA","1997-05-09","iq","whois.cmc.iq","registry"
"1164","ir","14342","NA","1994-04-06","ir","whois.nic.ir","registry"
"1165","is","317","NA","1987-11-18","is","whois.isnic.is","registry"
"1166","it","12676","NA","1987-12-23","it","whois.nic.it","registry"
"1167","je","12","NA","1996-08-08","je","whois.je","registry"
"1168","jm","17","NA","1991-09-24","jm","","registry"
"1169","jo","91","NA","1994-11-23","jo","","registry"
"1170","jp","27128","NA","1986-08-05","jp","whois.jprs.jp","registry"
"1171","ke","299","NA","1993-04-29","ke","whois.kenic.or.ke","registry"
"1172","kg","147","NA","1995-07-12","kg","whois.domain.kg","registry"
"1173","kh","53","NA","1996-02-20","kh","","registry"
"1174","ki","1","NA","1995-04-19","ki","whois.nic.ki","registry"
"1175","km","1","NA","1998-06-08","km","","registry"
"1176","kn","3","NA","1991-09-03","kn","","registry"
"1177","kp","3","NA","2007-09-24","kp","","registry"
"1178","kr","7099","NA","1986-09-29","kr","whois.kr","registry"
"1179","kw","111","NA","1992-10-26","kw","","registry"
"1180","ky","8","NA","1995-05-03","ky","whois.kyregistry.ky","registry"
"1181","kz","1332","NA","1994-09-19","kz","whois.nic.kz","registry"
"1182","la","230","NA","1996-05-14","la","whois.nic.la","registry"
"1183","lb","74","NA","1993-08-25","lb","","registry"
"1184","lc","15","NA","1991-09-03","lc","whois.nic.lc","registry"
"1185","li","107","NA","1993-02-26","li","whois.nic.li","registry"
"1186","lk","528","NA","1990-06-15","lk","whois.nic.lk","registry"
"1187","lr","3","NA","1997-04-09","lr","","registry"
"1188","ls","11","NA","1993-01-13","ls","","registry"
"1189","lt","1016","NA","1992-06-03","lt","whois.domreg.lt","registry"
"1190","lu","236","NA","1995-01-27","lu","whois.dns.lu","registry"
"1191","lv","669","NA","1993-04-29","lv","whois.nic.lv","registry"
"1192","ly","151","NA","1997-04-23","ly","whois.nic.ly","registry"
"1193","ma","507","NA","1993-11-26","ma","whois.registre.ma","registry"
"1194","mc","7","NA","1995-01-20","mc","","registry"
"1195","md","187","NA","1994-03-24","md","whois.nic.md","registry"
"1196","me","3769","NA","2007-09-24","me","whois.nic.me","registry"
"1197","mg","33","NA","1995-07-25","mg","whois.nic.mg","registry"
"1198","mh","1","NA","1996-08-16","mh","","registry"
"1199","mil","58","NA","1985-01-01","mil","","registry"
"1200","mk","292","NA","1993-09-23","mk","whois.marnet.mk","registry"
"1201","ml","228","NA","1993-09-29","ml","whois.dot.ml","registry"
"1202","mm","48","NA","1997-02-04","mm","","registry"
"1203","mn","279","NA","1995-03-02","mn","whois.nic.mn","registry"
"1204","mo","63","NA","1992-09-17","mo","whois.monic.mo","registry"
"1205","mp","2","NA","1996-10-22","mp","whois.nic.mp","registry"
"1206","mq","1","NA","1997-03-28","mq","","registry"
"1207","mr","13","NA","1996-04-24","mr","","registry"
"1208","ms","64","NA","1997-03-06","ms","whois.nic.ms","registry"
"1209","mt","57","NA","1992-12-02","mt","whois.nic.mt","registry"
"1210","mu","61","NA","1995-10-06","mu","whois.nic.mu","registry"
"1211","mv","16","NA","1996-09-25","mv","","registry"
"1212","mw","17","NA","1997-01-03","mw","","registry"
"1213","mx","3804","NA","1989-02-01","mx","whois.mx","registry"
"1214","my","1392","NA","1987-06-08","my","whois.mynic.my","registry"
"1215","mz","39","NA","1992-09-04","mz","whois.nic.mz","registry"
"1216","na","33","NA","1991-05-08","na","whois.na-nic.com.na","registry"
"1217","name","229","NA","2001-08-17","name","whois.nic.name","registry"
"1218","nc","20","NA","1993-10-13","nc","whois.nc","registry"
"1219","ne","1","NA","1996-04-24","ne","","registry"
"1220","nf","11","NA","1996-03-18","nf","whois.nic.nf","registry"
"1221","ng","888","NA","1995-03-15","ng","whois.nic.net.ng","registry"
"1222","ni","63","NA","1989-10-13","ni","","registry"
"1223","nl","7551","NA","1986-04-25","nl","whois.domain-registry.nl","registry"
"1224","no","2082","NA","1987-03-17","no","whois.norid.no","registry"
"1225","np","110","NA","1995-01-25","np","","registry"
"1226","nr","3","NA","1998-03-30","nr","","registry"
"1227","nu","299","NA","1997-06-20","nu","whois.iis.nu","registry"
"1228","nz","1029","NA","1987-01-19","nz","whois.srs.net.nz","registry"
"1229","om","87","NA","1996-04-11","om","whois.registry.om","registry"
"1230","pa","127","NA","1994-05-25","pa","","registry"
"1231","pe","936","NA","1991-11-25","pe","kero.yachay.pe","registry"
"1232","pf","22","NA","1996-03-19","pf","whois.registry.pf","registry"
"1233","pg","11","NA","1991-09-26","pg","","registry"
"1234","ph","679","NA","1990-09-14","ph","whois.nic.ph","registry"
"1235","pk","1434","NA","1992-06-03","pk","","registry"
"1236","pl","10041","NA","1990-07-30","pl","whois.dns.pl","registry"
"1237","pm","19","NA","1997-08-20","pm","whois.nic.pm","registry"
"1238","pn","12","NA","1997-07-10","pn","","registry"
"1239","post","4","NA","2012-08-07","post","whois.dotpostregistry.net","registry"
"1240","pr","30","NA","1989-08-27","pr","whois.nic.pr","registry"
"1241","ps","68","NA","2000-03-22","ps","whois.nic.ps","registry"
"1242","pt","1455","NA","1988-06-30","pt","whois.dns.pt","registry"
"1243","pw","590","NA","1997-06-12","pw","whois.nic.pw","registry"
"1244","py","143","NA","1991-09-09","py","","registry"
"1245","qa","173","NA","1996-06-12","qa","whois.registry.qa","registry"
"1246","re","64","NA","1997-04-07","re","whois.nic.re","registry"
"1247","ro","3610","NA","1993-02-26","ro","whois.rotld.ro","registry"
"1248","rs","692","NA","2007-09-24","rs","whois.rnids.rs","registry"
"1249","ru","48658","NA","1994-04-07","ru","whois.tcinet.ru","registry"
"1250","rw","64","NA","1996-10-21","rw","","registry"
"1251","sa","541","NA","1994-05-17","sa","whois.nic.net.sa","registry"
"1252","sb","3","NA","1994-04-19","sb","whois.nic.net.sb","registry"
"1253","sc","50","NA","1997-05-09","sc","whois2.afilias-grs.net","registry"
"1254","sd","19","NA","1997-03-06","sd","","registry"
"1255","se","3206","NA","1986-09-04","se","whois.iis.se","registry"
"1256","sg","1264","NA","1988-10-19","sg","whois.sgnic.sg","registry"
"1257","sh","65","NA","1997-09-23","sh","whois.nic.sh","registry"
"1258","si","569","NA","1992-04-01","si","whois.register.si","registry"
"1259","sj","1","NA","1997-08-21","sj","","registry"
"1260","sk","1858","NA","1993-03-29","sk","whois.sk-nic.sk","registry"
"1261","sl","3","NA","1997-05-09","sl","whois.nic.sl","registry"
"1262","sm","17","NA","1995-08-16","sm","whois.nic.sm","registry"
"1263","sn","42","NA","1993-03-19","sn","whois.nic.sn","registry"
"1264","so","81","NA","1997-08-28","so","whois.nic.so","registry"
"1265","sr","13","NA","1991-09-03","sr","","registry"
"1266","st","86","NA","1997-11-07","st","whois.nic.st","registry"
"1267","su","1031","NA","1990-09-19","su","whois.tcinet.ru","registry"
"1268","sv","98","NA","1994-11-04","sv","","registry"
"1269","sx","37","NA","2010-12-20","sx","whois.sx","registry"
"1270","sy","65","NA","1996-02-20","sy","whois.tld.sy","registry"
"1271","sz","9","NA","1993-07-19","sz","","registry"
"1272","tc","34","NA","1997-01-27","tc","whois.nic.tc","registry"
"1273","td","2","NA","1997-11-03","td","","registry"
"1274","tel","4","NA","2007-03-01","tel","whois.nic.tel","registry"
"1275","tf","35","NA","1997-08-26","tf","whois.nic.tf","registry"
"1276","tg","2","NA","1996-09-05","tg","whois.nic.tg","registry"
"1277","th","1071","NA","1988-09-07","th","whois.thnic.co.th","registry"
"1278","tj","36","NA","1997-12-11","tj","","registry"
"1279","tk","548","NA","1997-11-07","tk","whois.dot.tk","registry"
"1280","tl","25","NA","2005-03-23","tl","whois.nic.tl","registry"
"1281","tm","30","NA","1997-05-30","tm","whois.nic.tm","registry"
"1282","tn","265","NA","1991-05-17","tn","whois.ati.tn","registry"
"1283","to","545","NA","1995-12-18","to","whois.tonic.to","registry"
"1284","tr","3642","NA","1990-09-17","tr","whois.nic.tr","registry"
"1285","travel","216","NA","2005-07-27","travel","whois.nic.travel","registry"
"1286","tt","47","NA","1991-09-03","tt","","registry"
"1287","tv","3873","NA","1996-03-18","tv","tvwhois.verisign-grs.com","registry"
"1288","tw","4059","NA","1989-07-31","tw","whois.twnic.net.tw","registry"
"1289","tz","109","NA","1995-07-14","tz","whois.tznic.or.tz","registry"
"1290","ua","4954","NA","1992-12-01","ua","whois.ua","registry"
"1291","ug","122","NA","1995-03-08","ug","whois.co.ug","registry"
"1292","uk","15592","NA","1985-07-24","uk","whois.nic.uk","registry"
"1293","us","2593","NA","1985-02-15","us","whois.nic.us","registry"
"1294","uy","243","NA","1990-09-10","uy","whois.nic.org.uy","registry"
"1295","uz","339","NA","1995-04-29","uz","whois.cctld.uz","registry"
"1296","va","13","NA","1995-09-11","va","","registry"
"1297","vc","86","NA","1991-09-03","vc","whois2.afilias-grs.net","registry"
"1298","ve","670","NA","1991-03-07","ve","whois.nic.ve","registry"
"1299","vg","16","NA","1997-02-20","vg","whois.nic.vg","registry"
"1300","vi","2","NA","1995-08-31","vi","whois.nic.vi","registry"
"1301","vn","2673","NA","1994-04-14","vn","whois.nic.vn","registry"
"1302","vu","30","NA","1995-04-10","vu","vunic.vu","registry"
"1303","wf","10","NA","1997-11-14","wf","whois.nic.wf","registry"
"1304","ws","538","NA","1995-07-14","ws","whois.website.ws","registry"
"1305","한국","1","NA","2011-02-05","xn--3e0b707e","whois.kr","registry"
"1306","ভারত","NA","NA","2011-02-05","xn--45brj9c","","registry"
"1307","қаз","1","NA","2011-09-15","xn--80ao21a","whois.nic.kz","registry"
"1308","срб","NA","NA","2011-02-05","xn--90a3ac","whois.rnids.rs","registry"
"1309","бел","10","NA","2014-09-29","xn--90ais","whois.cctld.by","registry"
"1310","சிங்கப்பூர்","NA","NA","2011-02-05","xn--clchc0ea0b2g2a9gcd","whois.sgnic.sg","registry"
"1311","мкд","NA","NA","2014-04-21","xn--d1alf","whois.marnet.mk","registry"
"1312","中国","5","NA","2010-07-09","xn--fiqs8s","cwhois.cnnic.cn","registry"
"1313","中國","NA","NA","2010-07-09","xn--fiqz9s","cwhois.cnnic.cn","registry"
"1314","భారత్","NA","NA","2011-02-05","xn--fpcrj9c3d","","registry"
"1315","ලංකා","NA","NA","2010-08-19","xn--fzc2c9e2c","","registry"
"1316","ભારત","NA","NA","2011-02-05","xn--gecrj9c","","registry"
"1317","भारत","NA","NA","2011-02-05","xn--h2brj9c","","registry"
"1318","укр","7","NA","2011-03-01","xn--j1amh","whois.dotukr.com","registry"
"1319","香港","1","NA","2010-07-12","xn--j6w193g","whois.hkirc.hk","registry"
"1320","台湾","NA","NA","2010-07-14","xn--kprw13d","whois.twnic.net.tw","registry"
"1321","台灣","NA","NA","2010-07-14","xn--kpry57d","whois.twnic.net.tw","registry"
"1322","мон","NA","NA","2012-06-21","xn--l1acc","","registry"
"1323","الجزائر","1","NA","2011-02-05","xn--lgbbat1ad8j","whois.nic.dz","registry"
"1324","عمان","NA","NA","2011-02-05","xn--mgb9awbf","whois.registry.om","registry"
"1325","ایران","NA","NA","2011-02-05","xn--mgba3a4f16a","whois.nic.ir","registry"
"1326","امارات","1","NA","2010-05-05","xn--mgbaam7a8h","whois.aeda.net.ae","registry"
"1327","الاردن","NA","NA","2010-08-20","xn--mgbayh7gpa","","registry"
"1328","بھارت","NA","NA","2011-02-05","xn--mgbbh1a71e","","registry"
"1329","المغرب","NA","NA","2011-02-05","xn--mgbc0a9azcg","","registry"
"1330","السعودية","NA","NA","2010-05-05","xn--mgberp4a5d4ar","whois.nic.net.sa","registry"
"1331","سودان","NA","NA","2012-11-20","xn--mgbpl2fh","","registry"
"1332","مليسيا","NA","NA","2011-10-22","xn--mgbx4cd0ab","whois.mynic.my","registry"
"1333","政府","NA","NA","2015-01-08","xn--mxtq1m","whois.nic.xn--mxtq1m","registry"
"1334","გე","NA","NA","2011-02-11","xn--node","whois.itdc.ge","registry"
"1335","ไทย","1","NA","2010-08-19","xn--o3cw4h","whois.thnic.co.th","registry"
"1336","سورية","NA","NA","2011-02-05","xn--ogbpf8fl","whois.tld.sy","registry"
"1337","рф","851","NA","2010-05-12","xn--p1ai","whois.tcinet.ru","registry"
"1338","تونس","1","NA","2010-08-19","xn--pgbs0dh","","registry"
"1339","ਭਾਰਤ","NA","NA","2011-02-05","xn--s9brj9c","","registry"
"1340","مصر","1","NA","2010-05-05","xn--wgbh1c","","registry"
"1341","قطر","NA","NA","2010-12-24","xn--wgbl6a","whois.registry.qa","registry"
"1342","இலங்கை","NA","NA","2010-08-19","xn--xkc2al3hye2a","","registry"
"1343","இந்தியா","NA","NA","2011-02-05","xn--xkc2dl3a5ee0h","","registry"
"1344","հայ","NA","NA","2014-11-26","xn--y9a3aq","whois.amnic.net","registry"
"1345","新加坡","NA","NA","2011-02-05","xn--yfro4i67o","whois.sgnic.sg","registry"
"1346","فلسطين","NA","NA","2010-08-20","xn--ygbi2ammx","whois.pnina.ps","registry"
"1347","ye","5","NA","1996-08-19","ye","","registry"
"1348","yt","19","NA","1997-11-17","yt","whois.nic.yt","registry"
"1349","za","3285","NA","1990-11-07","za","","registry"
"1350","zm","24","NA","1994-03-25","zm","whois.nic.zm","registry"
"1351","zw","44","NA","1991-11-06","zw","","registry"
"1352","عراق","NA","NA","2014-09-29","xn--mgbtx2b","whois.cmc.iq","registry"
"1353","ελ","NA","NA","2015-05-06","xn--qxam","","registry"
"1354","unicom","NA","NA","2016-01-22","unicom","whois.nic.unicom","registry"
"1355","联通","NA","NA","2015-12-10","xn--8y0a063a","","registry"
"1356","ею","1","NA","2015-12-08","xn--e1a4c","","registry"
"1357","澳門","NA","NA","2015-04-21","xn--mix891f","whois.monic.mo","registry"
"1358","htc","NA","NA","2016-03-03","htc","whois.nic.htc","registry"
"1359","shaw","NA","NA","2016-03-10","shaw","whois.afilias-srs.net","registry"
"1360","ikano","NA","NA","2016-06-03","ikano","whois.ikano.tld-box.at","registry"
"1361","able","NA","NA","2016-03-03","able","whois.nic.able","registry"
"1362","netflix","NA","NA","2016-05-05","netflix","whois.nic.netflix","registry"
"1363","mit","NA","NA","2016-06-24","mit","whois.afilias-srs.net","registry"
"1364","lego","NA","NA","2016-03-24","lego","whois.nic.lego","registry"
"1365","cbre","NA","NA","2016-06-16","cbre","whois.nic.cbre","registry"
"1366","alstom","NA","NA","2015-12-04","alstom","whois.nic.alstom","registry"
"1367","cookingchannel","NA","NA","2016-05-05","cookingchannel","whois.nic.cookingchannel","registry"
"1368","foodnetwork","NA","NA","2016-05-05","foodnetwork","whois.nic.foodnetwork","registry"
"1369","frontdoor","NA","NA","2016-05-05","frontdoor","whois.nic.frontdoor","registry"
"1370","hgtv","NA","NA","2016-05-05","hgtv","whois.nic.hgtv","registry"
"1371","travelchannel","NA","NA","2016-05-05","travelchannel","whois.nic.travelchannel","registry"
"1372","pnc","NA","NA","2015-10-29","pnc","whois.afilias-srs.net","registry"
"1373","бг","NA","NA","2016-03-05","xn--90ae","whois.imena.bg","registry"
"1374","zippo","NA","NA","2016-05-26","zippo","whois.nic.zippo","registry"
"1375","nike","NA","NA","2015-10-29","nike","whois.nic.nike","registry"
"1376","comcast","NA","NA","2016-06-16","comcast","whois.nic.comcast","registry"
"1377","fujitsu","NA","NA","2016-06-30","fujitsu","whois.nic.gmo","registry"
"1378","godaddy","NA","NA","2016-06-24","godaddy","whois.afilias-srs.net","registry"
"1379","mitsubishi","NA","NA","2016-06-24","mitsubishi","whois.nic.gmo","registry"
"1380","xfinity","NA","NA","2016-06-16","xfinity","whois.nic.xfinity","registry"
"1381","ses","NA","NA","2016-05-05","ses","whois.nic.ses","registry"
